,_ - search_key,_ - eng_search_key,Class,_ - url,Comments on relevance,Название|Title,Type 1,Type 2,_ - Номер ГИМ|Museum internal ID,Отдел/коллекция|Department/collection,Инвентарный номер|Inventory Number,Датировка|Date,Размер|Size,"Материал, техника|Material, technique",_ - Номер ГК|State Catalogue Number,Ключевые слова|Keywords,Место создания|Creation Place,Contemporary_Toponyms,fcodeName,toponymName,lat,long,Country,geonames 3,"Автор, мастер/Изготовитель|Author,Creator'",_ - Шифр ОПИ|The Writtern Sources Dept Code,Комплект|Set,Место находки|Place of Discovery,Формат|Format,"Лист, страницы|Sheet,Pages",_ - Археологический памятник|Archeological site,Персоналии|Persons,Многотомное издание: автор|Author of a multi-volume edition,Многотомное издание: Название|Title,_ - Экспозиция|Exposition,Выставки|Exhibitions,_ - Альбомы|Albums,Аннотация|Annotation,Start Year,End Year,Creation Place,coordinate location (wikipedia),Location Certainty,"Автор, мастер/Изготовитель|Author,Creator",_ - Экспозиция,Предметный классификатор|Subject Classifier,Язык|Language,Многотомное издание: автор|Author,_ - Номер ГИМ,_ - Номер ГК,_ - Шифр ОПИ
20,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137819?page=12&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=561,,[Конституция (Основной закон) СССР : Принята на внеочередной 7-й сессии Верховного Совета СССР 9-го созыва 7 октября 1977 года]. На армянском яз.,book,political,ГИМ 104730/484,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2706,1978,"17х11,3х1 см",,20420267.0,СССР Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137820?page=6&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=263,,Конституция (Основной закон) Армянской ССР. Принята на внеочередной 7-й сессии Верховного Совета Армянской ССР 9-го созыва 14 апреля 1978 года,book,political,ГИМ 104730/486,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2708,1978,"20х12,8х0,3 см",,20420279.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137821?page=5&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=237,,"Конституция (Основной закон) Армянской ССР. С изменениями и дополнениями, принятыми на 1-3 сессиях Верховного Совета Армянской ССР 8-го созыва",book,political,ГИМ 104730/488,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2710,1972,"20х12,8х0,2 см",,20420212.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137822?page=9&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=413,,Стенографический отчет,book,report of a political meeting,ГИМ 104730/489,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2711,1978,"22х15,2х1,5 см",,20420292.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...","Верховный Совет Армянской ССР 9-й созыв, 7 сессия, 13-14 апреля 1978 г.",,,,,,,,,,,,,,,,,,,,,,,,,,
24,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137823?page=9&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=429,,Стенографический отчет. На арм. яз.,book,political,ГИМ 104730/490,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2712,1978,"22х15,2х1,5 см",,20420281.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...","Верховный Совет Армянской ССР 9-й созыв, 7 сессия, 13-14 апреля 1978 г.",,,,,,,,,,,,,,,,,,,,,,,,,,
25,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137824?page=4&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=172,,Малая земля. На армянском яз.,nook,political,ГИМ 104730/492,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2714,1978,"16,5х12,7х0,7 см",,20420202.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Брежнев Леонид Ильич (1906-1982),,,,,,,,,,,,,,,,,,,,,,,,,,
26,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137825?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=147,,Возрождение. На армянском яз.,book ,political,ГИМ 104730/493,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2715,1978,"16,5х12,3х0,7 см",,20420330.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Брежнев Леонид Ильич (1906-1982),,,,,,,,,,,,,,,,,,,,,,,,,,
27,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137826?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=148,,Целина. На армянском яз.,book,political,ГИМ 104730/494,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2716,1978,"19,7х13х0,6 см",,20420087.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Брежнев Леонид Ильич (1906-1982),,,,,,,,,,,,,,,,,,,,,,,,,,
28,армяне,Armenians,Armenian,https://catalog.shm.ru/entity/OBJECT/138143?page=2&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D0%B5&index=56,,Собрание сочинений : В 5-и тт. : Т. 5 : На армян. яз.,,,ГИМ 102346/340,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2257,1972,"20,6х13,7х2,1 см",,17193645.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Сарьян Г. Б.,,,,,,,,,,,,,,,,,,,,,,,,,,
29,армяне,Armenians,Armenian,https://catalog.shm.ru/entity/OBJECT/138144?query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D0%B5&index=13,,Кобзарь : На армян. яз.,"book, translated from Ukrainian",political ,ГИМ 102346/341,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2258,1961,"20,6х13,7х1,9 см",,17193703.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...","Шевченко, Т.",,,,,,,,,,,,,,,,,,,,,,,,,,
30,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138856?page=8&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=394,,Исторические связи и дружба украинского и армянского народов : Вып. 3 / АН АрмССР. Институт истории,"book, translated from Ukrainian",political ,ГИМ 105332/465,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-3115,1971,"22,4х15,5х2,7 см",,20305734.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138879?page=5&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=202,,[Размышления на полпути]. На армянском яз.,,,ГИМ 104730/355,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2656,1977,"24,7х20,2х0,3 см",,20420325.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Капутикян Сильва Барунаковна (1919-2006),,,,,,,,,,,,,,,,,,,,,,,,,,
32,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138882?page=4&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=173,,Посвящение : Стихи /  Пер. с армянского,,,ГИМ 104730/358,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2659,1979,"16,7х13,3х2 см",,20420303.0,Москва,Москва,Москва,capital of a political entity,Moscow,55.75222,37.61556,Russia,"city, village,...",Капутикян Сильва Барунаковна (1919-2006),,,,,,,,,,,,,,,,,,,,,,,,,,
33,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138883?page=9&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=414,,Караваны еще в пути /  Авторизов. пер. с армянского Г. Фиша и М. Мазманян,,,ГИМ 104730/359,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2660,1969,"17,2х13,5х2 см",,20420298.0,Москва,Москва,Москва,capital of a political entity,Moscow,55.75222,37.61556,Russia,"city, village,...",Капутикян Сильва Барунаковна (1919-2006),,,,,,,,,,,,,,,,,,,,,,,,,,
34,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138886?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=149,,[Избрание]. На армянском яз.,,,ГИМ 104730/362,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2663,1978,"13х10,5х1 см",,20420275.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Капутикян Сильва Барунаковна (1919-2006),,,,,,,,,,,,,,,,,,,,,,,,,,
35,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138887?page=6&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=261,,"Армянские эскизы; Прожитые и непрожитые годы; Аптека ""Ани""",,,ГИМ 104730/363,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2664,1975,"20,5х13х2 см",,20420237.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Петросян Вардгес Амазаспович,,,,,,,,,,,,,,,,,,,,,,,,,,
36,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/138888?page=7&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=343,,"Аптека ""Ани"" / Варткес Бедросян ; Перевел от армянски Агоп Орманджиян. На болгарском яз.",,,ГИМ 104730/364,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-2665,1976,"19,5х13х0,6 см",,20420331.0,София,София,София,capital of a political entity,Sofia,42.69751,23.32415,Bulgaria,"city, village,...",Петросян Вардгес Амазаспович,,,,,,,,,,,,,,,,,,,,,,,,,,
